session_id,stream_count,song_title_nunique,primary_artist_nunique,album_nunique,session_length,weekday,season,time_of_day_start,first_artist_listen_sum,first_song_listen_sum,first_album_listen_sum,first_listen_any_sum,artist_diversity,album_diversity,song_diversity,first_listen_ratio,cluster_filt
5057,2,2,1,1,0.05722222222222222,saturday,winter,morning,0,0,0,0,0.5,0.5,1.0,0.0,0
5058,10,10,1,1,0.5369444444444444,saturday,winter,afternoon,0,0,0,0,0.1,0.1,1.0,0.0,0
5059,11,11,4,4,0.4638888888888889,sunday,winter,afternoon,0,1,0,1,0.36363636363636365,0.36363636363636365,1.0,0.09090909090909091,0
5060,4,4,2,2,0.14583333333333334,sunday,winter,afternoon,0,0,0,0,0.5,0.5,1.0,0.0,0
5061,5,5,5,5,0.18888888888888888,sunday,winter,evening,3,5,5,5,1.0,1.0,1.0,1.0,1
5062,5,5,4,5,0.2722222222222222,sunday,winter,afternoon,1,2,2,2,0.8,1.0,1.0,0.4,3
5063,15,15,2,2,0.8669444444444444,monday,winter,afternoon,0,1,1,1,0.13333333333333333,0.13333333333333333,1.0,0.06666666666666667,0
5064,9,9,1,1,0.5352777777777777,monday,winter,morning,0,0,0,0,0.1111111111111111,0.1111111111111111,1.0,0.0,0
5065,10,10,5,9,0.5511111111111111,tuesday,winter,afternoon,0,0,0,0,0.5,0.9,1.0,0.0,0
5066,3,2,1,1,0.14527777777777778,tuesday,winter,evening,0,1,0,1,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0
5067,2,2,1,1,0.08527777777777777,tuesday,winter,evening,0,0,0,0,0.5,0.5,1.0,0.0,0
5068,10,10,3,3,0.36194444444444446,tuesday,winter,late  night,0,1,1,1,0.3,0.3,1.0,0.1,0
5069,6,6,1,3,0.29833333333333334,tuesday,winter,morning,0,0,0,0,0.16666666666666666,0.5,1.0,0.0,0
5070,7,7,1,1,0.30333333333333334,tuesday,winter,morning,0,0,0,0,0.14285714285714285,0.14285714285714285,1.0,0.0,0
5071,9,9,5,8,0.4677777777777778,tuesday,winter,afternoon,0,1,1,1,0.5555555555555556,0.8888888888888888,1.0,0.1111111111111111,0
5072,4,4,4,4,0.23944444444444443,wednesday,winter,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5073,7,7,1,7,0.43083333333333335,wednesday,winter,afternoon,0,1,0,1,0.14285714285714285,1.0,1.0,0.14285714285714285,0
5074,2,1,1,2,0.01,wednesday,winter,evening,0,0,0,0,0.5,1.0,0.5,0.0,0
5075,10,10,1,1,0.4847222222222222,wednesday,winter,morning,0,1,0,1,0.1,0.1,1.0,0.1,0
5076,9,9,3,8,0.5036111111111111,wednesday,winter,afternoon,0,0,0,0,0.3333333333333333,0.8888888888888888,1.0,0.0,0
5077,5,5,2,4,0.2747222222222222,thursday,winter,afternoon,0,0,0,0,0.4,0.8,1.0,0.0,0
5078,2,2,1,2,0.08444444444444445,thursday,winter,evening,0,0,0,0,0.5,1.0,1.0,0.0,0
5079,15,15,4,4,0.9105555555555556,thursday,winter,evening,0,0,0,0,0.26666666666666666,0.26666666666666666,1.0,0.0,0
5080,9,9,2,2,0.39444444444444443,thursday,winter,morning,2,9,2,9,0.2222222222222222,0.2222222222222222,1.0,1.0,1
5081,4,4,1,4,0.21,saturday,spring,evening,0,0,0,0,0.25,1.0,1.0,0.0,0
5082,5,5,5,5,0.2752777777777778,saturday,spring,evening,0,0,0,0,1.0,1.0,1.0,0.0,3
5083,10,10,1,1,0.5572222222222222,saturday,spring,late  night,0,2,0,2,0.1,0.1,1.0,0.2,0
5084,4,4,3,4,0.21611111111111111,saturday,spring,morning,0,0,0,0,0.75,1.0,1.0,0.0,3
5085,3,3,3,3,0.1597222222222222,saturday,spring,afternoon,0,0,0,0,1.0,1.0,1.0,0.0,3
5086,15,15,10,11,0.7755555555555556,saturday,spring,afternoon,0,0,0,0,0.6666666666666666,0.7333333333333333,1.0,0.0,0
5087,7,7,5,7,0.38416666666666666,sunday,spring,afternoon,0,3,1,3,0.7142857142857143,1.0,1.0,0.42857142857142855,3
5088,3,3,1,1,0.10277777777777777,sunday,spring,afternoon,0,0,0,0,0.3333333333333333,0.3333333333333333,1.0,0.0,0
5089,9,9,5,7,0.6077777777777778,sunday,spring,evening,0,0,0,0,0.5555555555555556,0.7777777777777778,1.0,0.0,0
5090,8,8,6,8,0.3402777777777778,sunday,spring,morning,0,0,0,0,0.75,1.0,1.0,0.0,3
5091,3,3,3,3,0.08888888888888889,sunday,spring,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
5092,1,1,1,1,0.0,sunday,spring,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
5093,4,4,4,4,0.1938888888888889,sunday,spring,morning,0,0,0,0,1.0,1.0,1.0,0.0,3
5094,13,13,7,12,0.5522222222222222,sunday,spring,afternoon,0,0,0,0,0.5384615384615384,0.9230769230769231,1.0,0.0,0
5095,11,11,9,9,0.5452777777777778,sunday,spring,afternoon,1,4,3,4,0.8181818181818182,0.8181818181818182,1.0,0.36363636363636365,3
5096,6,6,2,4,0.23805555555555555,monday,spring,afternoon,0,2,0,2,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0
5097,3,3,2,1,0.09833333333333333,monday,spring,evening,0,0,0,0,0.6666666666666666,0.3333333333333333,1.0,0.0,3
5098,1,1,1,1,0.0,tuesday,spring,afternoon,1,1,1,1,1.0,1.0,1.0,1.0,1
5099,9,9,2,6,0.7116666666666667,saturday,spring,evening,1,9,7,9,0.2222222222222222,0.6666666666666666,1.0,1.0,1
5100,5,5,4,5,0.24694444444444444,saturday,spring,afternoon,0,0,0,0,0.8,1.0,1.0,0.0,3
5101,6,6,1,1,0.27166666666666667,saturday,spring,afternoon,0,2,0,2,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,0
5102,6,6,1,1,0.24916666666666668,sunday,spring,afternoon,0,1,0,1,0.16666666666666666,0.16666666666666666,1.0,0.16666666666666666,0
5103,10,10,7,8,0.5483333333333333,sunday,spring,evening,0,0,0,0,0.7,0.8,1.0,0.0,3
5104,5,5,5,5,0.31083333333333335,sunday,spring,evening,1,2,1,2,1.0,1.0,1.0,0.4,3
5105,10,10,9,9,0.5158333333333334,sunday,spring,evening,1,2,2,2,0.9,0.9,1.0,0.2,3
5106,4,4,3,4,0.17916666666666667,sunday,spring,night,0,0,0,0,0.75,1.0,1.0,0.0,3
5107,11,11,11,11,0.7269444444444444,tuesday,spring,night,0,0,0,0,1.0,1.0,1.0,0.0,3
5108,12,11,3,4,0.5561111111111111,wednesday,spring,evening,0,0,0,0,0.25,0.3333333333333333,0.9166666666666666,0.0,0
